step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622372e-13,0.0,4.5888190516707e-13,6.404226504432821e-13,0.0,4.569970793548962e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.591754645940458e-12,0.0,1.0238493008008257e-12,1.4384048126146479e-12,6.927304242314349e-26,1.0442316526945268e-25,6.493446171053029e-25,8.23040824797899e-25,8.555080556531643e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,0.31429999999999964,0.0007,0.0,3.358956102431727e-13,4.687320536876384e-13,0.0,5.564418442768468e-12,7.797489720776011e-12,0.0,4.7320096963646054e-11,6.69181752457076e-11,0.0,3.9499894854433734e-10,5.531054806307759e-10,0.0,2.580992234234747e-12,3.6454757036775076e-12,7.853514012536099e-24,1.119595788324432e-21,7.801208467556604e-20,7.9139533977903e-20,8.304013821168131e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
898,0.6286000000000002,0.0007,0.0,2.6645394753494325e-12,3.741533894903433e-12,0.0,3.1495044793647935e-11,4.4535175484603887e-11,0.0,9.037988125495701e-11,1.2780023332431336e-10,0.0,3.202898988877216e-09,4.514511483832929e-09,0.0,1.338570944423511e-11,1.8925637569874985e-11,2.5508423225416783e-22,4.084261467830064e-21,5.129280966475348e-18,5.133620312175432e-18,5.3900843604992e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347,0.9429000000000154,0.0007,0.0,1.5428243719762776e-11,2.1818056231009603e-11,0.0,1.668959470118679e-10,2.359460364540449e-10,0.0,1.254848094877682e-10,1.7739554279229174e-10,0.0,1.8359478112160982e-08,2.5964037843936438e-08,0.0,7.008218226589e-11,9.904281518594566e-11,7.201594986523452e-21,7.873218706090744e-21,1.6853521827545902e-16,1.6855029308915164e-16,1.769770540029246e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1796,1.2571999999999899,0.0007,0.0,8.245630065900796e-11,1.1657002834646251e-10,0.0,8.717012490854558e-10,1.2319065351002035e-09,0.0,1.5178249241156109e-10,2.1409860252449237e-10,0.0,9.794738783739176e-08,1.3846830201831267e-07,0.0,3.6473274506575953e-10,5.153958284952937e-10,1.9676480843265462e-19,1.1518962501332796e-20,4.79684539208422e-15,4.797053675855154e-15,5.036895945459365e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2244,1.5707999999999553,0.0007,0.0,4.299624804244001e-10,6.076439197388703e-10,0.0,4.517593857988708e-09,6.383704850229128e-09,0.0,1.8311763855457802e-10,2.567139467625031e-10,0.0,5.106259152786598e-07,7.216411345701295e-07,0.0,1.8885173228755036e-09,2.6685608949250956e-09,5.287031301007027e-18,1.6766034774902532e-20,1.3036941267708447e-13,1.3037471647442025e-13,1.3689318710827448e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2693,1.8850999999999207,0.0007,0.0,2.2378074115299797e-09,3.1622271635366487e-09,0.0,2.34750338855445e-08,3.317127355064098e-08,0.0,3.485195401192792e-10,4.923291198709228e-10,0.0,2.6575994148417898e-06,3.755433821420697e-06,0.0,9.811490899445354e-09,1.3864020049788245e-08,1.4277708599296405e-16,6.073293492247694e-20,3.531417324883711e-12,3.5315601627026387e-12,3.708131028946824e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3142,2.199399999999949,0.0007,0.0,1.163050854253438e-08,1.6434492488436223e-08,0.0,1.219583431992746e-07,1.7233186266493191e-07,0.0,1.3895370973170912e-09,1.949664330211634e-09,0.0,1.3812336927253688e-05,1.9517529808949126e-05,0.0,5.097113253655806e-08,7.20241382943443e-08,3.8537280979359785e-15,9.654066724102033e-19,9.539032569598791e-11,9.539418038949252e-11,1.0016369667429192e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3591,2.5137000000000143,0.0007,0.0,6.042626725870502e-08,8.538475130867907e-08,0.0,6.335758222559747e-07,8.952665217642068e-07,0.0,6.940262204610973e-09,9.800955419635916e-09,0.0,7.176208258852283e-05,0.00010140272137584751,0.0,2.64794369875499e-07,3.741643961544349e-07,1.0400591441165403e-13,2.4083619734375766e-17,2.574898248720985e-09,2.5750022787190162e-09,2.7037471911550655e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4040,2.8280000000000793,0.0007,0.0,3.1391970156857105e-07,4.435804998670782e-07,0.0,3.2914136840982258e-06,4.65089110471707e-06,0.0,3.585284096926708e-08,5.065841289172663e-08,0.0,0.0003728104474663257,0.0005267953750844961,0.0,1.3756003422643488e-06,1.943774916421797e-06,2.8068965890001633e-12,6.427131027837781e-16,6.9493814870021e-08,6.94966224093231e-08,7.297131315282414e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4488,3.1416000000001443,0.0007,0.0,1.6248382196451993e-06,2.295957561982263e-06,0.0,1.703617594721791e-05,2.4072755879641362e-05,0.0,1.854468960306235e-07,2.620429024001981e-07,0.0,0.0019296550647064617,0.0027266752449410284,0.0,7.120031180481487e-06,1.006087124132088e-05,7.519792196616127e-11,1.7195275623696432e-14,1.8617843343736494e-06,1.8618595494908912e-06,1.954948766209574e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4937,3.4559000000002094,0.0007,0.0,8.440998568134472e-06,1.1927447897293748e-05,0.0,8.850247677364288e-05,0.0001250573205505596,0.0,9.63350522180862e-07,1.3612523945799595e-06,0.0,0.010024515603652296,0.014165016929838894,0.0,3.6988371215433954e-05,5.2265956471763704e-05,2.0294225555945478e-09,4.640221142930696e-13,5.024545654393418e-05,5.0247486430511886e-05,5.27597592577086e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5386,3.7702000000002744,0.0007,0.0,4.3850768255100035e-05,6.196278114850298e-05,0.0,0.00045976798563727794,0.0006496694156616471,0.0,5.00462760680359e-06,7.071730852812937e-06,0.0,0.052077098387901574,0.07358689434536207,0.0,0.00019215359442425152,0.00027152023918937575,5.476954003080253e-08,1.2523148741390312e-11,0.0013560120882515894,0.001356066870314769,0.0014238674747273485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5835,4.0845000000003395,0.0007,0.0,0.0002278035691670118,0.0003218949913499297,0.0,0.0023884823176163255,0.003375015138587409,0.0,2.599903757554672e-05,3.673762181560002e-05,0.0,0.27053913460476325,0.3822819489308945,0.0,0.0009982327560120804,0.0014105403413274876,1.478106411516693e-06,3.379749774273452e-10,0.03659571167634709,0.036597190120733585,0.03842697570455094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6284,4.398800000000405,0.0007,0.0,0.0011834334221392827,0.0016722358320383018,0.0,0.012408101400256995,0.01753311287230345,0.0,0.00013506450456000403,0.0001908512204869957,0.0,1.4054435367432594,1.985944454571701,0.0,0.005185792321938205,0.007327719139369466,3.98907597544012e-05,9.121210196019673e-09,0.9876357674867005,0.9876756673676651,1.037057455742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6732,4.7124000000004695,0.0007,0.0,0.006125385238712109,0.008655399187564496,0.0,0.0642236391627352,0.09075041202478079,0.0,0.0006990865798376229,0.0009878355774837193,0.0,7.274497181597971,10.279137481446963,0.0,0.026841371145441276,0.03792786460749063,0.0010686893011489364,2.443610230545325e-07,26.459154622538392,26.460223556200564,27.783181287327483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7181,5.026700000000535,0.0007,0.0,0.031821211585413685,0.04496456600968046,0.0,0.33364007822751657,0.4714459498387186,0.0,0.0036317362659851536,0.005131779626795861,0.0,37.790817225738905,53.39984277925353,0.0,0.13944020123522485,0.1970342366130342,0.028841514956679505,6.594754152835893e-06,714.0729332946021,714.1017814043129,749.805428069043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7630,5.3410000000006,0.0007,0.0,0.16531033839753395,0.2335897111584006,0.0,1.7332512335414407,2.4491490304384285,0.0,0.01886677251737235,0.026659457519169746,0.0,196.3222791544683,277.41074712078984,0.0,0.7243880953430059,1.0235875602093902,0.7783674676243384,0.00017797755261113833,19271.21864620249,19271.997191647668,20235.558123957795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8079,5.655300000000665,0.0007,0.0,0.8587827621577832,1.213492267360829,0.0,9.004193544557438,12.723263346234749,0.0,0.0980123760905016,0.13849516517699473,0.0,1019.8889603620845,1441.141370672589,0.0,3.763176673770498,5.317509847145749,21.006383179541807,0.004803212933452966,520086.7457342268,520107.7569206192,546112.0942073306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8528,5.96960000000073,0.0007,0.0,4.461353353493757,6.304059693543517,0.0,46.776543307133274,66.09701090698492,0.0,0.5091716580764462,0.7194786587070159,0.0,5298.295720410017,7486.690662902589,0.0,19.549601614177043,27.62432064796075,566.9149246857587,0.12962788869415867,14035968.770457547,14036535.815010121,14738334.253532998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8572,6.0,0.0002999999992638891,0.0,5.2321465205389615,7.393219361343233,0.0,54.85818067192365,77.5166677537829,0.0,0.5971418330059799,0.8437838168205237,0.0,6213.688385973859,8780.17484797106,0.0,22.92720884424806,32.3970064032904,779.7303538707419,0.17828918436287072,19304961.678993214,19305741.58763627,20270989.671585932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
