step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,upar_mean,upar_rms,upar_max_abs,dbpar_mean,dbpar_rms,dbpar_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,upar_energy,dbpar_energy,entropy_variance,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,0.7071067811865476,1.0000000000000002,0.0,1.4142135623730951,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1178097245096172,0.1178097245096172,0.0,0.7071011319965059,0.9930604344054843,0.0,1.4142022639930119,1.9861208688109686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999840217414802,0.0,0.0,0.0,0.9999840217414802,0.9999840217414802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.23561944901923443,0.11780972450961724,0.0,0.7070954828515965,0.9876727953336455,0.0,1.414190965703193,1.975345590667291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999680437382646,0.0,0.0,0.0,0.9999680437382646,0.9999680437382646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.35342917352885167,0.11780972450961724,0.0,0.7070898337518189,0.9992051763706085,0.0,1.4141796675036378,1.998410352741217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999520659903497,0.0,0.0,0.0,0.9999520659903497,0.9999520659903497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4712388980384689,0.11780972450961724,0.0,0.7070841846971729,0.9968852389712213,0.0,1.4141683693943459,1.9937704779424426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999360884977313,0.0,0.0,0.0,0.9999360884977313,0.9999360884977313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5890486225480862,0.11780972450961724,0.0,0.7070785356876582,0.9807468394092906,0.0,1.4141570713753164,1.9614936788185813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999201112604056,0.0,0.0,0.0,0.9999201112604056,0.9999201112604056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.7068583470577035,0.11780972450961724,0.0,0.7070728867232744,0.9968699029812873,0.0,1.4141457734465488,1.9937398059625746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999041342783687,0.0,0.0,0.0,0.9999041342783687,0.9999041342783687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.8246680715673207,0.11780972450961724,0.0,0.707067237804021,0.9991729490179522,0.0,1.414134475608042,1.9983458980359043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998881575516159,0.0,0.0,0.0,0.9998881575516159,0.9998881575516159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9424777960769379,0.11780972450961724,0.0,0.7070615889298978,0.9876242708596857,0.0,1.4141231778597956,1.9752485417193715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998721810801432,0.0,0.0,0.0,0.9998721810801432,0.9998721810801432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.057522203923062065,0.0,0.7070612667422331,0.984120285932957,0.0,1.4141225334844663,1.968240571865914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998712698542623,0.0,0.0,0.0,0.9998712698542623,0.9998712698542623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
