step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,upar_mean,upar_rms,upar_max_abs,dbpar_mean,dbpar_rms,dbpar_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,upar_energy,dbpar_energy,entropy_variance,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,6.456423937151179e-17,1.0,6.759707733760187,2.6020852139652106e-18,8.101073881968466,54.81402536241986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79727771704669,0.0,0.0,0.0,6.79727771704669,6.79727771704669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.31878147578876365,0.017170383316986882,7.101524229780054e-17,0.9999987068317657,6.497392860508084,8.543513119185775e-17,8.101062004799298,52.640936528424774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797258657635954,0.0,0.0,0.0,6.797258657635954,6.797258657635954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.6365187235036524,0.016818589718182685,6.743737512859838e-17,0.9999974312204657,6.564230109333831,9.107298248878237e-17,8.101050288881705,53.19459410820691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797239857013999,0.0,0.0,0.0,6.797239857013999,6.797239857013999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.9559030380978053,0.01663283971880496,5.431852884152377e-17,0.9999961282348713,6.79484223663364,2.0903417885520525e-16,8.101038321544827,55.10511797730224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797220652963743,0.0,0.0,0.0,6.797220652963743,6.797220652963743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1.2587784172478684,0.016670867338500015,5.42643187328995e-17,0.9999948888876339,6.877052146908515,1.465841337200402e-16,8.101026938697823,55.7862680495587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797202386872671,0.0,0.0,0.0,6.797202386872671,6.797202386872671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1.57846148637273,0.01668864519890822,5.62158826433734e-17,0.9999935811387294,6.778507870685525,1.721713049906981e-16,8.10101492761216,54.969782635329764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797183112671736,0.0,0.0,0.0,6.797183112671736,6.797183112671736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1.8974423393956865,0.01710097466118934,4.824699667560495e-17,0.9999922847239253,6.532037899936901,1.4224732503009818e-16,8.10100302062451,52.927917854688985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797164005544349,0.0,0.0,0.0,6.797164005544349,6.797164005544349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2.215087192835142,0.016861128535208977,5.589062199162775e-17,0.9999910106988483,6.531419012226998,1.9255430583342559e-16,8.10099131927523,52.922790186693064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7971452284314875,0.0,0.0,0.0,6.7971452284314875,6.7971452284314875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2.5177435916690682,0.01663616213515801,5.1662233518934286e-17,0.9999897749579737,6.81301447220746,1.7433970933566911e-16,8.100979969550602,55.255676634611305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7971270155934524,0.0,0.0,0.0,6.7971270155934524,6.7971270155934524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2.837252712578662,0.01669061005070833,5.366800753803247e-17,0.9999884700172003,6.878748073850218,1.4137996329210978e-16,8.100967984255941,55.80031585191955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797107782886403,0.0,0.0,0.0,6.797107782886403,6.797107782886403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
