step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,a_mean,a_rms,a_max_abs,alfvenic_energy,a_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.014142135623730947,0.019999999999999997,0.0,0.007071067811865478,0.010000000000000004,0.00019999999999999993,0.00020000000000000015,0.0004000000000000001,0.0004000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.020000000000000004,0.002,0.0,0.0,0.0,0.0,0.014284237881166135,0.02020096293970867,0.0,0.007142118940583071,0.010100481469854341,0.0002040394518457416,0.0002040394518457418,0.0004080789036914834,0.0004080789036914834,-8.08052248820783e-08,0.0,0.0004040261244103915,0.0004039453191855094,0.0,0.0,0.0,0.0,0.0,0.0
20,0.04000000000000002,0.002,0.0,0.0,0.0,0.0,0.014427768002970992,0.02040394518457416,0.0,0.007213884001485499,0.010201972592287086,0.00020816048954755355,0.00020816048954755377,0.0004163209790951073,0.0004163209790951073,-8.243726895605569e-08,0.0,0.00041218634478027853,0.00041210390751132247,0.0,0.0,0.0,0.0,0.0,0.0
30,0.06000000000000004,0.002,0.0,0.0,0.0,0.0,0.014572740336536577,0.02060896702487149,0.0,0.007286370168268293,0.01030448351243575,0.0002123647609161202,0.0002123647609161204,0.0004247295218322406,0.0004247295218322406,-8.410227584726787e-08,0.0,0.0004205113792363393,0.00042042727696049205,0.0,0.0,0.0,0.0,0.0,0.0
40,0.08000000000000006,0.002,0.0,0.0,0.0,0.0,0.014719169373418647,0.020816048954755344,0.0,0.007359584686709328,0.010408024477377677,0.00021665394704338553,0.00021665394704338574,0.00043330789408677127,0.00043330789408677127,-8.580091131427936e-08,0.0,0.00042900455657139685,0.00042891875566008255,0.0,0.0,0.0,0.0,0.0,0.0
50,0.10000000000000007,0.002,0.0,0.0,0.0,0.0,0.01486706975078625,0.021025211674308705,0.0,0.007433534875393129,0.010512605837154358,0.00022102976297474353,0.00022102976297474374,0.00044205952594948727,0.00044205952594948727,-8.753385456215324e-08,0.0,0.0004376692728107661,0.000437581738956204,0.0,0.0,0.0,0.0,0.0,0.0
60,0.12000000000000009,0.002,0.0,0.0,0.0,0.0,0.01501645625288484,0.021236476091612007,0.0,0.007508228126442422,0.010618238045806009,0.0002254939583948042,0.0002254939583948044,0.0004509879167896086,0.0004509879167896086,-8.930179851403307e-08,0.0,0.00044650899257016536,0.00044641969077165134,0.0,0.0,0.0,0.0,0.0,0.0
70,0.1400000000000001,0.002,0.0,0.0,0.0,0.0,0.015167343812514151,0.02144986332483316,0.0,0.007583671906257079,0.010724931662416585,0.00023004831832701132,0.00023004831832701156,0.0004600966366540229,0.0004600966366540229,-9.110545008821075e-08,0.0,0.0004555272504410537,0.0004554361449909655,0.0,0.0,0.0,0.0,0.0,0.0
80,0.16000000000000011,0.002,0.0,0.0,0.0,0.0,0.015319747512520897,0.02166539470433854,0.0,0.007659873756260452,0.010832697352169275,0.00023469466384739023,0.00023469466384739044,0.00046938932769478067,0.00046938932769478067,-9.294553048079044e-08,0.0,0.0004647276524039522,0.00046463470687347144,0.0,0.0,0.0,0.0,0.0,0.0
90,0.18000000000000013,0.002,0.0,0.0,0.0,0.0,0.015473682587306425,0.02188309177482515,0.0,0.007736841293653215,0.01094154588741258,0.00023943485281271003,0.00023943485281271027,0.00047886970562542033,0.00047886970562542033,-9.482277545406061e-08,0.0,0.00047411387727030286,0.0004740190544948488,0.0,0.0,0.0,0.0,0.0,0.0
100,0.20000000000000015,0.002,0.0,0.0,0.0,0.0,0.015629164424349622,0.022102976297474323,0.0,0.007814582212174815,0.011051488148737167,0.00024427078060335587,0.0002442707806033561,0.000488541561206712,0.000488541561206712,-9.673793563069174e-08,0.0,0.00048368967815345866,0.000483592940217828,0.0,0.0,0.0,0.0,0.0,0.0
110,0.22000000000000017,0.002,0.0,0.0,0.0,0.0,0.015786208565744992,0.022325070252126898,0.0,0.007893104282872503,0.011162535126063454,0.0002492043808812007,0.0002492043808812009,0.0004984087617624016,0.0004984087617624016,-9.869177679387488e-08,0.0,0.0004934588839693744,0.0004933601921925805,0.0,0.0,0.0,0.0,0.0,0.0
120,0.24000000000000019,0.002,0.0,0.0,0.0,0.0,0.01594483070975631,0.022549395839480395,0.0,0.007972415354878158,0.011274697919740203,0.00025423762636278785,0.0002542376263627881,0.0005084752527255759,0.0005084752527255759,-1.0068508019352256e-07,0.0,0.0005034254009676127,0.0005033247158874192,0.0,0.0,0.0,0.0,0.0,0.0
130,0.2600000000000002,0.002,0.0,0.0,0.0,0.0,0.016105046712385794,0.022775975483308217,0.0,0.0080525233561929,0.011387987741654114,0.00025937252960812847,0.00025937252960812874,0.0005187450592162573,0.0005187450592162573,-1.0271864285865434e-07,0.0,0.0005135932142932718,0.0005134904956504132,0.0,0.0,0.0,0.0,0.0,0.0
140,0.2800000000000002,0.002,0.0,0.0,0.0,0.0,0.01626687258895912,0.023004831832701127,0.0,0.008133436294479563,0.011502415916350569,0.00026461114382542953,0.0002646111438254298,0.0005292222876508593,0.0005292222876508593,-1.0479327791609161e-07,0.0,0.0005239663895804581,0.000523861596302542,0.0,0.0,0.0,0.0,0.0,0.0
150,0.3000000000000002,0.002,0.0,0.0,0.0,0.0,0.016430324515726298,0.023235987764331285,0.0,0.008215162257863153,0.011617993882165648,0.0002699555636920766,0.00026995556369207685,0.0005399111273841535,0.0005399111273841535,-1.0690981491558894e-07,0.0,0.0005345490745779447,0.0005344421647630291,0.0,0.0,0.0,0.0,0.0,0.0
160,0.32000000000000023,0.002,0.0,0.0,0.0,0.0,0.01659541883147869,0.023469466384739023,0.0,0.00829770941573935,0.011734733192369517,0.0002754079261921975,0.0002754079261921977,0.0005508158523843952,0.0005508158523843952,-1.0906910016153232e-07,0.0,0.0005453455008076615,0.0005452364317075,0.0,0.0,0.0,0.0,0.0,0.0
170,0.34000000000000025,0.002,0.0,0.0,0.0,0.0,0.016762172039182222,0.023705291032642576,0.0,0.008381086019591115,0.011852645516321293,0.0002809704114711423,0.0002809704114711425,0.0005619408229422848,0.0005619408229422848,-1.112719970513367e-07,0.0,0.0005563599852566836,0.0005562487132596323,0.0,0.0,0.0,0.0,0.0,0.0
