step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,2.168404344971009e-18,0.43396285738141666,1.4366248209132386,0.0,0.43396285738141666,1.3622706649724292,-1.734723475976807e-18,0.4339628573814166,1.5566301567353047,5.204170427930421e-18,0.43396285738141666,1.4296701781417764,3.469446951953614e-18,0.43396285738141666,1.3773159561730393,0.41666694199164045,0.09416188079332187,0.0941618807933219,0.6049907035782842,0.7499999999999999,0.0,0.0,0.0,0.0,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
6,0.257693691477286,0.04354025690419526,8.673617379884035e-19,0.421123055010441,1.3375134285193817,-1.734723475976807e-18,0.9073452351561219,2.8357027549544656,6.071532165918825e-18,1.0313674717495445,3.373031625771837,-1.734723475976807e-18,0.45029575701448343,1.5405945836751882,0.0,0.3881067443934932,1.3992862324330948,0.4648206310190472,0.5318594308915237,0.10138313439262335,1.0980631963031942,1.240115578857621,-3.27994496883873e-10,0.0,1.8526277599783134,1.852627759650319,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
12,0.5180349170368401,0.04253363195529586,0.0,0.4230315129168701,1.3884162705875316,-5.204170427930421e-18,0.8608686362644031,2.9354242401151875,8.673617379884035e-19,1.8749239995550422,5.998986534501223,-1.1275702593849246e-17,0.5365620065054117,1.7635138165726711,0.0,0.5650472700845738,1.9043027395816587,0.4455825443186027,1.7576700020537372,0.14394939341255672,2.3472019397848967,2.577356505903562,-7.540931449665554e-10,0.0,5.562402920570023,5.562402919815931,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
18,0.761680358641092,0.039175932517535934,-4.336808689942018e-19,0.46802093391595445,1.4734125108511438,1.734723475976807e-18,1.2191815910212374,3.9483240859813655,6.938893903907228e-18,2.6643164910518964,8.678742762193856,5.204170427930421e-18,0.8072097521080354,2.6658216942808606,0.0,0.5526887350287769,2.369265402235234,0.6125760246306808,3.5492911822455446,0.32579379194915786,4.487660998825383,4.8959302969880225,-1.5656944180285437e-09,0.0,9.852863032756337,9.852863031190642,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
25,1.0178272308716398,0.03454332757097039,2.6020852139652106e-18,0.5538022428429592,1.7201001447673732,-3.469446951953614e-18,1.2911028622940925,4.405510987992809,1.214306433183765e-17,3.4890032772998407,11.31798304171436,-2.6020852139652106e-18,1.3214910589634197,4.031980250882981,0.0,0.540025201284862,2.014560303226193,0.7859228348235506,6.086571934504515,0.87316930946013,7.745664078788196,8.697572737114468,-2.8607822130977883e-09,0.0,17.22475985975623,17.224759856895446,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
33,1.2690271229101064,0.02905390866113213,-2.168404344971009e-18,0.6412501128828839,2.1434390934627543,0.0,1.3873238632337965,5.753158243107935,-1.8214596497756474e-17,4.260044281842597,13.762669275768138,-8.673617379884035e-19,1.9712447319156343,6.38439468415649,-1.734723475976807e-18,0.5541403906018377,2.2282044161863235,0.9834891214869659,9.073988641629903,1.9429028965525705,12.000380659669439,14.026192880796028,-4.736602192472703e-09,0.0,25.834180222843923,25.83418021810732,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
42,1.5065765245219234,0.02459212534341372,4.336808689942018e-19,0.7265567214286724,2.628890427540064,-3.469446951953614e-18,1.493807061072496,5.380907159825972,-1.5612511283791264e-17,4.933695029833363,16.004221667727407,-2.6020852139652106e-18,2.701328203805919,8.907805448192553,0.0,0.59920792893394,2.3171098785011672,1.2531591172227015,12.170673323701209,3.648587032338656,17.072419473262567,20.817950043967492,-7.1422598629274305e-09,0.0,36.98217966714707,36.98217966000481,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
53,1.7570321427247886,0.02160354333756486,1.3010426069826053e-18,0.82905777159503,2.979504513434021,1.734723475976807e-18,1.5951553310121473,5.089233025271635,-5.204170427930421e-18,5.595085605492298,18.164574121924552,2.6020852139652106e-18,3.577965201137807,11.67833634520623,0.0,0.6172270294916353,2.1436146260406055,1.626385091139649,15.65249146639356,6.400917490276555,23.679794047809764,30.18357322368879,-1.0256063811402529e-08,0.0,51.714700050272015,51.71470004001595,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
65,2.004284224284544,0.019836341569585726,-2.168404344971009e-18,0.9380008019141092,3.2383066548204216,-1.734723475976807e-18,1.5493621662404653,4.692525234257248,3.469446951953614e-18,6.202241155104984,19.91564707475745,-6.938893903907228e-18,4.506609104946313,14.595287820300767,-1.734723475976807e-18,0.6966640113946976,2.4599512982915446,1.9698476788733494,19.233897673039,10.154762812392505,31.358508164304855,41.64431297778595,-1.422090590742703e-08,0.0,65.96286408515506,65.96286407093416,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
79,2.2669160219106153,0.017809859142564142,1.734723475976807e-18,1.0504138002443628,3.5950068449047192,0.0,1.7459420936312935,6.097486576973806,5.0306980803327406e-17,6.7869779651094095,21.397021702879634,3.469446951953614e-18,5.535041975199085,18.016453705863263,-5.204170427930421e-18,0.7698700387606436,2.726925000580355,2.4346801289684974,23.031534949440335,15.318344833607886,40.78455991201672,56.26293371230156,-1.9173038142179967e-08,0.0,79.91516968290351,79.91516966373047,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
93,2.5018213286720994,0.015959516531595535,-8.673617379884035e-19,1.15467215903493,3.9487752548788846,2.6020852139652106e-18,1.7781714868216794,5.67766369034048,1.734723475976807e-17,7.263951728937145,22.523844902336265,0.0,6.49490725349979,21.173411832165847,-1.734723475976807e-18,0.8642297798726634,3.1531724382376316,2.865260221859682,26.38249736016448,21.091910115782085,50.33966769780625,71.6332389539414,-2.4907065353433146e-08,0.0,98.66657046345564,98.66657043854858,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
110,2.758786788234204,0.014497601988173608,-2.168404344971009e-18,1.2721259518612889,4.299709546789696,8.673617379884035e-19,1.8279435733396932,5.407952316726748,7.632783294297951e-17,7.753252773508864,23.786730059841428,2.6020852139652106e-18,7.559968118855325,24.369792030517463,1.734723475976807e-18,0.8402136264296615,3.044752101335235,3.446968059319394,30.056464284961443,28.576558979054457,62.07999132333529,90.84715921566003,-3.1556607022918435e-08,0.0,115.62945217321625,115.62945214165964,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
128,3.0103622792256153,0.0135617283003512,-4.336808689942018e-19,1.3780046912246284,4.630886746116933,6.938893903907228e-18,1.758776585673924,4.96224901780735,-7.979727989493313e-17,8.197333018751307,24.984397447836606,0.0,8.577308794240118,27.167116081175635,-3.469446951953614e-18,0.8416879410845292,3.0914586617061968,3.976573524901182,33.5981343101552,36.78511307587443,74.35982091093081,111.33621240615035,-3.936132526365688e-08,0.0,124.45749881383847,124.45749877447714,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
147,3.2597570562166127,0.012750263691387794,-1.3010426069826053e-18,1.4710280162699227,4.926132908183454,0.0,1.8173870095899844,5.686113373846323,2.0816681711721685e-17,8.59775957977857,25.842359355340186,1.5612511283791264e-17,9.562634264087412,29.815455849787334,-3.469446951953614e-18,0.886463067801646,3.19093496742276,4.511778345153361,36.96073489583709,45.7219870343493,87.19450027533975,133.12865783774464,-4.787196455361276e-08,0.0,133.72614956611554,133.72614951824357,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
167,3.506936162454581,0.012039422691827503,-1.734723475976807e-18,1.5609383263305219,5.143405204753309,-8.673617379884035e-19,2.0370496677098338,6.13645836257545,-3.469446951953614e-18,8.968155793461767,26.612312348448445,-2.6020852139652106e-18,10.537777376471222,32.392400716944096,3.469446951953614e-18,0.8544406703234787,3.0234703606259625,5.125889496909404,40.21390916790092,55.522376018034336,100.86217468284465,156.58166929283675,-5.720393812123433e-08,0.0,151.76968198277075,151.7696819255668,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
188,3.7540589671212365,0.01155566299017325,4.336808689942018e-19,1.6390786845052518,5.30705125075556,-8.673617379884035e-19,2.038687366890707,6.172962967871426,0.0,9.327114534243645,27.809972708593648,9.540979117872439e-18,11.496837985631574,34.753609858433244,6.938893903907228e-18,0.8464017626288929,2.985095678310878,5.5768334181215815,43.49753276744953,66.08864183393052,115.16300801950163,181.4450767582531,-6.744021521535377e-08,0.0,166.0963512731769,166.09635120573668,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
210,4.004466336065029,0.011274883312172789,-3.469446951953614e-18,1.6857488668142724,5.39683164225082,-5.204170427930421e-18,1.8666665104031126,5.726038727796175,-6.938893903907228e-18,9.676557612473232,29.003258332858074,1.5612511283791264e-17,12.418054826376553,36.61889898497516,-1.734723475976807e-18,0.9134000614088181,3.2585411649357825,5.822615536380676,46.817883613756834,77.10404283544699,129.7445419855845,207.0738457325205,-7.847916468384126e-08,0.0,164.85404176410054,164.85404168562138,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
232,4.252044463566544,0.011260075642735245,-5.204170427930421e-18,1.7125923578943796,5.381378584843384,-8.673617379884035e-19,1.793484801217424,5.61471774324748,-5.898059818321144e-17,9.997611902820497,30.16561776610679,-3.469446951953614e-18,13.281621456833694,38.34650700279832,0.0,0.990443198995821,3.4466848570972086,6.0238148029559255,49.97612187970904,88.20073426131259,144.20067094397757,232.6662691925082,-9.003274465181738e-08,0.0,161.26448042479967,161.26448033476692,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
255,4.510349045027711,0.011114361335719327,-3.903127820947816e-18,1.7566717650328278,5.410698128970769,-2.6020852139652106e-18,1.8188332704020251,5.154329413484698,-6.245004513516506e-17,10.302265695872958,31.18803543068984,8.673617379884035e-18,14.16891177299217,40.65714172199288,-5.204170427930421e-18,0.994753974599096,3.845541937194401,6.3631442581399265,53.068339234180364,100.37903041541803,159.8105139077383,260.4567189000511,-1.023226204052545e-07,0.0,172.0698390879898,172.0698389856672,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
277,4.750887164819362,0.010777499076662833,4.336808689942018e-19,1.8104366257389395,5.59100160890849,6.071532165918825e-18,1.947472292029617,5.722804639826171,4.5102810375396984e-17,10.559804074172133,32.455463970376705,-5.204170427930421e-18,14.9981029631577,43.22882876452189,0.0,0.8983653550421533,3.289110812277564,6.82433499831437,55.75473104245118,112.47154624673988,175.05061228750543,287.74006481825313,-1.1518416338688075e-07,0.0,189.9966540554274,189.99665394024325,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
301,5.00625594616886,0.010540777932956583,3.0357660829594124e-18,1.8525846471315734,5.741984380962702,5.204170427930421e-18,2.0388550034880186,6.092068870673826,4.85722573273506e-17,10.810133128492046,33.70259554043485,1.1275702593849246e-17,15.866739611308729,45.86935314145265,-1.734723475976807e-18,0.8204404492893103,2.9064301596786435,7.235601327092986,58.42948912786059,125.87671294653673,191.5418034014903,317.6002594313512,-1.2867288711204556e-07,0.0,199.02697263081578,199.02697250214288,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
325,5.257450613185194,0.010388055259405926,-3.0357660829594124e-18,1.8752877512470074,5.880222457335822,0.0,1.9660647702371203,7.4636801363932666,4.5102810375396984e-17,11.039145871364145,34.72850107292247,1.734723475976807e-18,16.690766953732762,48.2679851448188,3.469446951953614e-18,0.8486447084731535,3.303951822275552,7.428646960064271,60.93137078462803,139.2908507519088,207.6508684966011,347.13617266563915,-1.4279657014985676e-07,0.0,196.2962675638015,196.29626742100493,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
349,5.5039743135140835,0.010164642624509059,-3.0357660829594124e-18,1.89770611970001,6.1155607375589,2.6020852139652106e-18,1.84268072751667,6.578762144478995,3.469446951953614e-18,11.2459912921953,35.49552982672495,1.474514954580286e-17,17.466494249017984,50.641427630098576,-1.734723475976807e-18,0.8632724542583913,3.125879030804631,7.599090848682176,63.236160072066234,152.53921067548913,223.37446159623755,376.1148868909026,-1.56729554867342e-07,0.0,190.59772740200378,190.59772724527423,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
374,5.755560079215028,0.009989060118326917,2.168404344971009e-18,1.930007273248633,6.408987651570903,1.734723475976807e-18,1.6158472741955079,5.487690583871662,0.0,11.432079685871244,35.94990991283556,7.806255641895632e-18,18.235146138722094,52.97166244963753,-1.734723475976807e-18,0.9156582147093983,3.0600658512652203,7.81497580238398,65.34622297205499,166.26027735027566,239.42147612471462,405.9081295658547,-1.7069511762924043e-07,0.0,192.4835738375327,192.48357366683757,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
399,6.004125128116275,0.009913520810074674,8.673617379884035e-19,1.9696058647804886,6.516605382819893,-8.673617379884035e-19,1.735605888683924,5.291006388590981,-1.3877787807814457e-17,11.598093330032807,36.20270000789117,-8.673617379884035e-19,18.980420040381624,54.849222844306404,1.734723475976807e-18,0.8801575060205288,2.8882499744342245,8.235630049510009,67.25788444607574,180.12817245466016,255.6216869502459,435.9590222584652,-1.848623044933435e-07,0.0,202.84780287480092,202.84780268993862,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
424,6.252076720527138,0.009920439960795939,0.0,2.017339599310272,6.535553937867895,2.6020852139652106e-18,1.7138396601101877,5.12135392611858,-2.42861286636753e-17,11.767202313259526,36.26615200733454,0.0,19.6965527530613,56.41375379973989,3.469446951953614e-18,0.8267252398980174,2.5119665773869837,8.62709628302716,69.23352514059016,193.97709517706335,271.83771660068066,465.99934992576084,-1.9898329618684495e-07,0.0,208.84424791712897,208.84424771814568,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
450,6.5089670688754016,0.009817742142639767,-2.6020852139652106e-18,2.0680021879939265,6.619015367239154,-1.734723475976807e-18,1.287182444484118,4.6689495689457505,6.938893903907228e-18,11.959001814316219,36.054652144992424,-8.673617379884035e-19,20.37240286903057,58.04615638038356,-1.734723475976807e-18,0.8277749161147198,2.605555687192523,8.869581289973103,71.50886219740931,207.51739932904252,287.89584281642493,495.59824919963967,-2.1292386513312496e-07,0.0,193.83642355743177,193.83642334450792,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
475,6.752191105424148,0.009654458694946882,2.168404344971009e-18,2.1009204967741324,6.713381946340751,0.0,1.1000336824110166,3.7918598285963068,9.367506770274758e-17,12.155898447885399,35.55069921980498,-7.806255641895632e-18,20.92941220586524,59.62540119564826,0.0,0.832621025934641,2.7391147012426145,9.117644303660589,73.88293353765133,219.02014764151042,302.02072548282234,521.2280527229965,-2.2588720676435768e-07,0.0,166.33084221271505,166.33084198682783,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
501,7.002331904614913,0.009619167120684707,-2.168404344971009e-18,2.1243440805497724,6.756175864535816,-3.469446951953614e-18,1.1701479499331942,3.870453116251472,-1.9081958235744878e-16,12.380905765001618,34.822748840871164,8.673617379884035e-19,21.42916128895943,60.939238577646165,3.469446951953614e-18,0.8787945551326256,3.0457706502190045,9.383424716366912,76.64341378092514,229.60447677411878,315.6313152714108,545.4443076104648,-2.3776120958817804e-07,0.0,151.05840833713876,151.05840809937754,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
527,7.253472297066872,0.009697770930675597,4.336808689942018e-19,2.15566958093968,6.77532898246995,0.0,1.1323830977350609,4.418281597127459,-3.122502256758253e-17,12.645337185536917,34.00013453378159,5.204170427930421e-18,21.864378627189677,61.9584807668658,0.0,0.8890272618253225,3.236336738982999,9.666402979637562,79.95227626796137,239.02552637655438,328.6442056241533,567.8831317582202,-2.4899894824197345e-07,0.0,145.997601511733,145.99760126273404,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
553,7.50566149482436,0.00967214639998046,1.3010426069826053e-18,2.1967653312436606,6.823263186123433,3.469446951953614e-18,0.9632309520792134,2.9376984945539286,-1.734723475976807e-16,12.955800249677925,33.09893000893519,0.0,22.213827407666155,62.89418854539439,-1.734723475976807e-18,0.8546800401331827,2.744128591487688,9.943460555197035,83.92638005477727,246.72706404878997,340.5969046587643,587.5211977597248,-2.593355646416466e-07,0.0,128.10746114339247,128.1074608840569,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
579,7.755253950199707,0.00953190448767223,8.673617379884035e-19,2.2282192308370328,6.829410327512825,3.469446951953614e-18,0.932841642364144,3.067682063278065,4.163336342344337e-17,13.306188917824567,32.83033751028666,0.0,22.4521175417327,63.58059859720629,1.734723475976807e-18,0.8352574745656521,2.9190419913061687,10.157823188618273,88.52733175841865,252.04879105389057,350.7339460009275,602.9711039179989,-2.6835790376037424e-07,0.0,94.46312034907791,94.46312008072,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
605,8.002308914149198,0.009506908143389,-4.336808689942018e-19,2.237735063528423,6.767881521980483,1.734723475976807e-18,1.093552542337958,3.9950539991215805,4.163336342344337e-17,13.696269753863266,33.59834187843802,1.1275702593849246e-17,22.581360825603273,64.05032099318767,0.0,0.8034119964144095,2.661582258999087,10.326388665095672,93.79390258529483,254.958928368045,359.0792196184355,614.2124251121958,-2.757865765106887e-07,0.0,60.03727894422202,60.03727866843544,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
631,8.250969355222503,0.00958707996182628,8.673617379884035e-19,2.2366015599127067,6.722861211380488,2.6020852139652106e-18,1.0448526387284858,3.3363670698637193,6.938893903907228e-17,14.128995638368824,34.903385456065614,-6.071532165918825e-18,22.607896700538728,64.19902759124543,3.469446951953614e-18,0.8541491405696051,2.955371754991497,10.341166732392198,99.81425887452262,255.5584966111149,365.7139222180297,621.4694029328152,-2.816415520481328e-07,0.0,28.053016296680056,28.053016015038505,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
658,8.509231695481574,0.00959158236576538,-3.0357660829594124e-18,2.2355772576134134,6.721416374340222,8.673617379884035e-19,1.0254026396516327,3.758946299110807,6.245004513516506e-17,14.613024395708837,37.43065413088202,-3.469446951953614e-18,22.53204182811881,63.90936955589171,-3.469446951953614e-18,0.9116059854121856,3.1039811720095623,10.30671123203761,106.77024099479084,253.8464544720479,370.92340669887636,624.9942380485368,-2.8609633583732107e-07,0.0,-0.9945410489407818,-0.9945413350371176,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
684,8.757738376257658,0.009464752278045972,-2.6020852139652106e-18,2.2370040093267125,6.718694944137122,4.336808689942018e-18,1.1407910229103564,4.207498293143369,1.734723475976807e-17,15.106463748464384,39.81982885635499,3.469446951953614e-18,22.378028720695323,63.56940390500931,-3.469446951953614e-18,0.8831800774778403,2.784850125977333,10.320948415144425,114.10262349183432,250.38808471213233,374.8116566191111,625.4103432345419,-2.893155537372757e-07,0.0,-17.19199877264723,-17.191999061962786,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
710,9.001925250989396,0.009359923796204537,3.0357660829594124e-18,2.2367301206455514,6.727079602995864,1.734723475976807e-18,0.9230727247654503,3.4873074847124315,-1.457167719820518e-16,15.609096307475086,41.912918532750346,3.469446951953614e-18,22.155657359978452,62.92773453572054,-1.734723475976807e-18,0.9142433243410093,2.8306499977802697,10.225434055078736,121.82194376801621,245.4365765263836,377.48395434947855,623.1462079070097,-2.91361278764496e-07,0.0,-30.38345663760699,-30.38345692896827,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
737,9.255869399352276,0.009470127745199732,-1.734723475976807e-18,2.22733158137789,6.781496767321396,-8.673617379884035e-19,1.226049697826411,4.264384792518024,6.591949208711867e-17,16.138137396188064,43.82092064982405,8.673617379884035e-18,21.829353144112172,62.0273632604101,1.734723475976807e-18,0.9421414619647354,2.952968633039359,10.16958767715613,130.21973930912182,238.2603293451799,378.6496563314579,617.1496459209131,-2.921276431265287e-07,0.0,-62.687289719078876,-62.68729001120652,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
763,9.502922957190679,0.009489858209291487,4.336808689942018e-19,2.2105169795671875,6.829140634701471,8.673617379884035e-19,1.6001874832075897,5.410778418135958,-1.0755285551056204e-16,16.65686277975853,45.659104451266934,-9.540979117872439e-18,21.414529621804363,60.97098015658841,0.0,0.973494095605756,3.313461413363772,10.077809668126042,138.7255388318525,229.29103946156826,378.0943879615468,607.6413039267434,-2.9148406866161267e-07,0.0,-99.75556852403125,-99.75556881551532,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
790,9.756867261898675,0.009315994282473223,4.336808689942018e-19,2.191777212688164,6.793080930385975,2.6020852139652106e-18,1.520626161320795,4.790957352203881,6.591949208711867e-17,17.19750550612984,47.472700832508245,4.336808689942018e-18,20.921107390785867,59.678026587846325,-1.734723475976807e-18,0.9547356296205941,3.1646704911697996,9.884828828403785,147.8770978166831,218.8463672283975,376.6082938734844,595.700771534948,-2.8981353013337346e-07,0.0,-112.27576212511083,-112.27576241492436,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
817,10.00686173976787,0.009237392281773,-8.673617379884035e-19,2.1757495001033513,6.6933624674320695,1.734723475976807e-18,1.359155468353461,4.509804893042021,1.1102230246251565e-16,17.727619939879077,48.879866643355264,2.6020852139652106e-18,20.391599193400427,58.43785347735192,-1.734723475976807e-18,0.913127220563004,2.9684785871706674,9.646670972841438,157.13425436639915,207.90865883214448,374.68958417138504,582.8233693601815,-2.875852532819332e-07,0.0,-109.5366267047782,-109.53662699236345,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
844,10.257556288004928,0.009349614372384745,1.734723475976807e-18,2.156503263451584,6.582758520240822,8.673617379884035e-19,1.5773569429467809,5.242421500178424,-2.42861286636753e-16,18.24436749326952,50.13764273693265,7.806255641895632e-18,19.799951466683517,57.0399675972717,3.469446951953614e-18,0.927621509615251,3.315158564796313,9.422474963584815,166.42847261473474,196.01903904151138,371.8699866198309,568.1213557109196,-2.848675015120707e-07,0.0,-120.30916263039269,-120.30916291526019,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
870,10.501276858276777,0.009386273493565874,-2.6020852139652106e-18,2.126962293513417,6.500506724078006,-2.6020852139652106e-18,1.9272292162117526,5.890905431696101,9.71445146547012e-17,18.735878816653326,51.71161274554709,1.5612511283791264e-17,19.146507405787354,55.523168666632394,-6.938893903907228e-18,0.9355200316502108,3.5057245035919737,9.211770133058003,175.5165775161594,183.29437291993494,368.02272056915234,551.5533968760844,-2.8151716005338856e-07,0.0,-144.05737737973638,-144.05737766125355,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
897,10.753330095919019,0.00928883386176555,4.336808689942018e-19,2.079262439881313,6.428220570664823,5.204170427930421e-18,1.9025492000279827,6.199030573735696,4.163336342344337e-17,19.2418251947759,53.38628893556023,6.938893903907228e-18,18.393886384687704,53.751266765253305,-3.469446951953614e-18,0.962430038982984,3.59183820216583,8.779991713581587,185.12391841315628,169.16752816639982,363.0714382931377,532.4890597861205,-2.7760395978943096e-07,0.0,-162.0415746343908,-162.04157491199476,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
924,11.004517239453703,0.009364381290949568,-4.336808689942018e-19,2.0152028360467087,6.280881948422765,4.336808689942018e-18,1.6527262829300535,5.032621690738922,2.0122792321330962e-16,19.74091074433852,55.15215726189055,-4.336808689942018e-18,17.582324315139882,51.669540190135514,-3.469446951953614e-18,1.0244541805377936,3.6043439911794675,8.133181101212116,194.85177850796998,154.5690641613796,357.5540237705617,512.4064546513071,-2.7336387304494365e-07,0.0,-167.19967222202132,-167.1996724953852,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
