step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,6.456423937151179e-17,1.0,6.759707733760187,2.6020852139652106e-18,8.101073881968466,54.81402536241986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79727771704669,0.0,0.0,6.79727771704669,6.79727771704669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,0.3150000000000002,0.001,4.85722573273506e-17,4.89102733682398,18.454427226626834,8.881784197001252e-16,219.70873316846135,942.2476606061944,4.163336342344337e-17,10.703752524157567,53.17455939716468,0.0,21.02649468262219,92.42469565748215,0.0,180.9218213817948,737.8580827869432,4521.86641458305,57.28515904920472,221.0567393191696,4800.208312951424,8740.31215370374,0.0,0.0,28039.645448153067,28039.645448153067,0.0,0.0,0.0,0.0,0.0,0.0
629,0.6290000000000004,0.001,1.1102230246251565e-16,25.479598823491525,98.17428295324089,2.398081733190338e-14,648.1065479716373,2453.1668070936375,-1.1657341758564144e-15,54.64701708074757,215.8065156605112,-5.551115123125783e-17,29.459010319919162,128.57147123690734,-8.881784197001252e-15,358.6407132472863,1355.661805050152,19710.962116360228,1493.1482379117579,433.91664451455176,21638.02699878654,35976.64924437216,0.0,0.0,117205.08609904916,117205.08609904916,0.0,0.0,0.0,0.0,0.0,0.0
943,0.9430000000000007,0.001,4.718447854656915e-16,23.672077380598417,82.9283175046189,-1.3322676295501878e-14,838.0124764068102,2856.8276823313918,-3.885780586188048e-16,53.91426477036592,202.84933858001483,8.881784197001252e-16,29.81063013307407,111.23219833377989,-8.43769498715119e-15,367.43072297317707,1292.988825031031,25641.141361969898,1453.3739728645596,444.33683446547184,27538.852169299927,42559.70712095869,0.0,0.0,108611.08630131006,108611.08630131006,0.0,0.0,0.0,0.0,0.0,0.0
1257,1.2569999999999724,0.001,6.106226635438361e-16,18.047349731158643,61.05629899397398,1.2434497875801753e-14,884.5882178394853,3537.7953232608684,-1.2212453270876722e-15,45.98408666963542,186.69892263583927,1.3322676295501878e-15,26.534775135417974,95.3823426682673,-1.865174681370263e-14,316.615897140368,1101.8292239394675,28033.46382838057,1057.2681134202705,352.047145743598,29442.77908754444,40654.42020540164,0.0,0.0,101216.3428010379,101216.3428010379,0.0,0.0,0.0,0.0,0.0,0.0
1571,1.5709999999999378,0.001,2.3314683517128287e-15,21.243611432602133,94.10854970345903,-5.773159728050814e-14,752.7836630588289,2849.923445323536,2.3314683517128287e-15,43.89748206743185,163.19912653834558,3.1086244689504383e-15,23.94408500655383,83.86848805685986,-1.7763568394002505e-14,291.0929580448925,1108.361319111213,29116.325378430047,963.4944659302503,286.6596034066986,30366.479447766993,39814.66913415485,0.0,0.0,129292.10890291088,129292.10890291088,0.0,0.0,0.0,0.0,0.0,0.0
1885,1.8849999999999032,0.001,1.1102230246251565e-15,22.647564748550984,84.83547689242525,-8.704148513061227e-14,687.0860559115479,2735.211533076776,3.0531133177191805e-15,42.37716797258885,149.3265728375117,2.914335439641036e-15,26.097869094635772,96.84637355900864,-3.3306690738754696e-15,277.6915249774234,967.3014413402105,28803.911599345818,897.9121826885049,340.5506129551526,30042.374394989478,38850.32889114907,0.0,0.0,141659.6438237325,141659.6438237325,0.0,0.0,0.0,0.0,0.0,0.0
2200,2.1999999999998687,0.001,1.6375789613221059e-15,22.456726098896283,81.43247381165685,-9.947598300641403e-14,720.2454656719245,2580.6082100984995,-5.551115123125783e-17,45.12209262025717,181.6399813421275,6.300515664747763e-15,25.090108636486114,85.8922825367473,1.354472090042691e-14,283.9216263294734,988.5543370481384,32990.453942990076,1018.0016212155332,569.295683271756,34577.75124747736,48007.624350730126,0.0,0.0,168915.0187376203,168915.0187376203,0.0,0.0,0.0,0.0,0.0,0.0
2514,2.513999999999834,0.001,6.2450045135165055e-15,21.88034672721954,88.23780093355055,5.879741138414829e-13,748.2597158568492,2609.1134427450984,-7.016609515630989e-14,43.75874628192172,157.1396616845684,1.7416623698807143e-14,24.580846380401525,104.68300239235884,-1.1302070390684094e-13,284.08080896946694,1150.1173964852844,971108034.0344541,957.4139380827988,50827386.988717966,1021936378.4371101,1886737835.6538284,0.0,0.0,6009458849.917519,6009458849.917519,0.0,0.0,0.0,0.0,0.0,0.0
2828,2.8279999999997996,0.001,-1.3324397141190047e-11,24.533446381973313,95.22659033542206,2.423714562382884e-10,757.7622711425097,2706.9295293774935,1.5870749159319075e-11,43.505173930255985,159.92481343870008,-1.9539397877466058e-11,24.62363399263969,107.13507794687274,1.3417533750725852e-10,294.71067935308355,1008.358654206362,194049597624995.34,946.3500793509122,10156707381325.342,204206305007267.03,377016592915649.5,0.0,0.0,1200835318408228.8,1200835318408228.8,0.0,0.0,0.0,0.0,0.0,0.0
3142,3.141592653589793,0.000592653590028025,1.7112329331325782e-09,22.272046868428646,90.71244955925778,1.632342128132791e-07,770.9849270620615,2985.9174931839407,-4.438641121318199e-09,44.7285038035795,175.4311844533009,1.2654406203460589e-08,26.078026132749503,101.747357618407,8.449033472857082e-08,309.50576096295407,1091.2539852902767,3.81889219310792e+19,1000.3195262534128,1.9988379777831324e+18,4.018775990886233e+19,7.41967899463844e+19,0.0,0.0,2.3663066993580222e+20,2.3663066993580222e+20,0.0,0.0,0.0,0.0,0.0,0.0
