step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,a_mean,a_rms,a_max_abs,alfvenic_energy,a_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.823169365962237e-13,0.0,4.5888190516707e-13,6.40422650443282e-13,0.0,4.569970793548963e-13,6.344617616061875e-13,6.263198954073488e-26,1.7403860878242114e-26,8.003585041897699e-26,8.003585041897699e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.20000000000000015,0.002,0.0,1.4369508639210857e-13,2.023167361725249e-13,0.0,4.1686097791536067e-13,5.831204506216973e-13,0.0,5.340772243198493e-13,7.544605590639957e-13,6.899800212394394e-26,2.3769873461432872e-26,9.276787558537681e-26,9.276787558537681e-26,0.0,0.0,6.366008591415766e-26,6.366008591415766e-26,0.0,0.0,0.0,0.0,0.0,0.0
200,0.4000000000000003,0.002,0.0,1.5744551000144442e-13,2.2025817908528118e-13,0.0,3.7828773613266177e-13,5.304863252105618e-13,0.0,6.104564261338758e-13,8.621092165405331e-13,7.628288267987477e-26,3.105475401734534e-26,1.0733763669722011e-25,1.0733763669722011e-25,0.0,0.0,7.284877360727473e-26,7.284877360727473e-26,0.0,0.0,0.0,0.0,0.0,0.0
300,0.6000000000000004,0.002,0.0,1.7011101744899184e-13,2.362848925910211e-13,0.0,3.4289080647102966e-13,4.82098920416358e-13,0.0,6.829964348151358e-13,9.58269497574972e-13,8.410180616006332e-26,3.887367749751548e-26,1.229754836575788e-25,1.229754836575788e-25,0.0,0.0,7.818920937838234e-26,7.818920937838234e-26,0.0,0.0,0.0,0.0,0.0,0.0
400,0.8000000000000006,0.002,0.0,1.816715644477829e-13,2.5325880770355767e-13,0.0,3.104375872887686e-13,4.375708788657251e-13,0.0,7.503632258035844e-13,1.04371119740726e-12,9.21485428824295e-26,4.692041421986345e-26,1.3906895710229296e-25,1.3906895710229296e-25,0.0,0.0,8.046734714175013e-26,8.046734714175013e-26,0.0,0.0,0.0,0.0,0.0,0.0
500,1.0000000000000007,0.002,0.0,1.9214559524971753e-13,2.690828789150061e-13,0.0,2.8073740025152004e-13,3.9654573868001245e-13,0.0,8.120569775237532e-13,1.1325762267118948e-12,1.0018117322466889e-25,5.495304456208445e-26,1.5513421778675335e-25,1.5513421778675335e-25,0.0,0.0,8.032628770450391e-26,8.032628770450391e-26,0.0,0.0,0.0,0.0,0.0,0.0
600,1.2000000000000008,0.002,0.0,2.0157048340374844e-13,2.8320310934382793e-13,0.0,2.536468527862798e-13,3.5869507987861317e-13,0.0,8.679782949771564e-13,1.2172976092848248e-12,1.0801032204189055e-25,6.278219337928765e-26,1.7079251542117822e-25,1.7079251542117822e-25,0.0,0.0,7.829147601612274e-26,7.829147601612274e-26,0.0,0.0,0.0,0.0,0.0,0.0
700,1.400000000000001,0.002,0.0,2.099922204197475e-13,2.9573253616144274e-13,0.0,2.29077970645237e-13,3.2371589526708086e-13,0.0,9.182246430557985e-13,1.2924741701905145e-12,1.1548950325553357e-25,7.026137459291236e-26,1.8575087784844593e-25,1.8575087784844593e-25,0.0,0.0,7.47918028871234e-26,7.47918028871234e-26,0.0,0.0,0.0,0.0,0.0,0.0
800,1.6000000000000012,0.002,0.0,2.1745982939740847e-13,3.067714616238319e-13,0.0,2.070094842947085e-13,2.913281647631015e-13,0.0,9.629897663009605e-13,1.3587077229648496e-12,1.2250723616267113e-25,7.727910750003154e-26,1.9978634366270267e-25,1.9978634366270267e-25,0.0,0.0,7.017732219792106e-26,7.017732219792106e-26,0.0,0.0,0.0,0.0,0.0,0.0
900,1.8000000000000014,0.002,0.0,2.2402231834193449e-13,3.164082560246732e-13,0.0,1.8750085972964437e-13,2.6127261374199786e-13,0.0,1.0025120031132714e-12,1.4165284893698983e-12,1.2898065502817313e-25,8.375252636551533e-26,2.1273318139368846e-25,2.1273318139368846e-25,0.0,0.0,6.473418373165602e-26,6.473418373165602e-26,0.0,0.0,0.0,0.0,0.0,0.0
