step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622367e-13,0.0,4.5888190516707e-13,6.40422650443282e-13,0.0,4.569970793548963e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.5917546459404577e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.161932423195639e-25,1.0442316526945268e-25,6.493446171053029e-25,8.699610246943194e-25,6.632855643059977e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.1,0.0,4.478035937570884e-12,6.2452409097383225e-12,0.0,5.6339068889866415e-11,7.898723247579378e-11,0.0,9.65933145240016e-13,1.3603334725293703e-12,0.0,1.145868901072615e-12,1.5998856522782562e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.52423648977266e-22,4.665134205366349e-25,6.565077692226811e-25,2.535466701670253e-22,3.197215807846686e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7,0.1,0.0,8.462385215908062e-12,1.1835770879665732e-11,0.0,1.9724074872208613e-11,2.7690604663658757e-11,0.0,1.7529460318142352e-12,2.464144789737245e-12,0.0,1.1679932527296302e-12,1.6302859963695487e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,4.8044080647051365e-22,1.5364098952266367e-24,6.821041192109706e-25,4.826593204849512e-22,5.513938661014235e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9999999999999999,0.1,0.0,7.347643626402472e-12,1.0275254571724876e-11,0.0,4.0208925134209236e-11,5.6374688315660975e-11,0.0,5.345907496345671e-12,7.426886973925091e-12,0.0,1.2053574429230702e-12,1.6819362549249783e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,4.131041215343084e-22,1.428936347974242e-23,7.264432826050212e-25,4.2811992829665585e-22,5.012883902525331e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.3,0.1,0.0,2.768690313348747e-12,3.847678229767845e-12,0.0,4.618586577791424e-11,6.48255955027462e-11,0.0,6.92473902443164e-12,9.634397017348005e-12,0.0,1.2584537643897928e-12,1.7555169159174638e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.3187032231975306e-22,2.3976005278243224e-23,7.918529385534199e-25,1.566381805365497e-22,2.3634760808726686e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.6000000000000003,0.1,0.0,8.538990199131367e-13,1.207135902374279e-12,0.0,9.944086581721382e-12,1.382947803593127e-11,0.0,6.187519477026068e-12,8.585761075804825e-12,0.0,1.3279816545884685e-12,1.851997403057422e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,8.542696752462583e-24,1.914269863928847e-23,8.817676374617628e-25,2.856716302921282e-23,1.1726806047076427e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.9000000000000006,0.1,0.0,4.338323957394719e-12,6.0303556498097526e-12,0.0,5.720466336188295e-11,8.015990830602902e-11,0.0,5.8785996139522745e-12,8.174950270768606e-12,0.0,1.4148569423008922e-12,1.9726488479304093e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.4819737556418816e-22,1.7278966710579916e-23,1.000910083588515e-24,2.664772523583566e-22,3.6709239441258324e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.2000000000000006,0.1,0.0,9.206252395101026e-12,1.2858617599217878e-11,0.0,3.644489266078032e-11,5.11051493088398e-11,0.0,8.286091816652865e-12,1.1493200152410409e-11,0.0,1.5202239494962781e-12,2.1190608371711425e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,6.019938175186565e-22,3.432965879700078e-23,1.155540428311031e-24,6.3747901674396835e-22,7.535571932704465e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2.600000000000001,0.1,0.0,8.74848668714199e-12,1.2216024049568321e-11,0.0,3.951742653368741e-11,5.5441981355458274e-11,0.0,1.3553096714177241e-11,1.8865016428151477e-11,0.0,1.6919143981004738e-12,2.3577348195799514e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,5.575467024652843e-22,9.184321527192093e-23,1.4312871652498437e-24,6.50821204902455e-22,7.944740551228146e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.9000000000000012,0.1,0.0,4.607955960206326e-12,6.396474985613976e-12,0.0,3.759272349905965e-11,5.281117503877508e-11,0.0,1.5422998732062654e-11,2.147210921573813e-11,0.0,1.846281994418976e-12,2.5723911472990254e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.9237051862498927e-22,1.1893444494460314e-22,1.7043786014578553e-24,3.1300934217105024e-22,4.83971336012211e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
