2026-05-26T17:21:10+12:00 run start {'title': 'Inhomogeneous rmhd simulation test', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\diagnostics\\nokia_inhomo_linear.input', 'output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\diagnostics\\kz_scan\\runs\\kz_10', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd', 'equation_mode': 'linear', 'grid': [32, 32, 32], 'output_cadences': {'scalar': 0.3141592653589793, 'spectra': 0.0, 'full_field': 0.0}, 'hostname': 'Naoki', 'python_executable': 'C:\\Users\\naoki\\AppData\\Local\\Programs\\Python\\Python313\\python.exe', 'git_commit': 'bae2e3dc28d11833148393904c049d5ad2ad4cea', 'command': "'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\run.py' 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\diagnostics\\nokia_inhomo_linear.input' --output-dir 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\diagnostics\\kz_scan\\runs\\kz_10' --mode-kx 3 --mode-ky 2 --mode-kz 10"}
2026-05-26T17:21:10+12:00 run setup {'resolved_output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\diagnostics\\kz_scan\\runs\\kz_10', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\diagnostics\\nokia_inhomo_linear.input', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd', 'equation_mode': 'linear', 'grid': [32, 32, 32], 'output_cadences': {'scalar': 0.3141592653589793, 'spectra': 0.0, 'full_field': 0.0}, 'dissipation_mode': 'manual', 'initial_condition': {'type': 'single_fourier_mode', 'parameters': {'k_indices': [3, 2, 10], 'amplitude': 1e-12, 'seed': 0}}}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 0, 'time': 0.0, 'dt': 0.0, 'total_energy': 2.2093836955126736e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 4, 'time': 0.4, 'dt': 0.1, 'total_energy': 6.692679570610248e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 7, 'time': 0.7, 'dt': 0.1, 'total_energy': 4.3563490136247445e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 10, 'time': 0.9999999999999999, 'dt': 0.1, 'total_energy': 3.335952166011211e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 13, 'time': 1.3, 'dt': 0.1, 'total_energy': 3.281052439113198e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 16, 'time': 1.6000000000000003, 'dt': 0.1, 'total_energy': 6.888807998178249e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 19, 'time': 1.9000000000000006, 'dt': 0.1, 'total_energy': 1.204665680777918e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 22, 'time': 2.2000000000000006, 'dt': 0.1, 'total_energy': 1.9608212631636296e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 26, 'time': 2.600000000000001, 'dt': 0.1, 'total_energy': 7.198275596248581e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 29, 'time': 2.9000000000000012, 'dt': 0.1, 'total_energy': 2.3651727006513374e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 32, 'time': 3.2000000000000015, 'dt': 0.1, 'total_energy': 1.7470079364097334e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 35, 'time': 3.5000000000000018, 'dt': 0.1, 'total_energy': 4.9509027738351603e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 38, 'time': 3.800000000000002, 'dt': 0.1, 'total_energy': 5.619105914756837e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 41, 'time': 4.100000000000001, 'dt': 0.1, 'total_energy': 2.1676231449110778e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 44, 'time': 4.4, 'dt': 0.1, 'total_energy': 1.5447090650006216e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 48, 'time': 4.799999999999999, 'dt': 0.1, 'total_energy': 6.142285462103854e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 51, 'time': 5.099999999999998, 'dt': 0.1, 'total_energy': 1.342919479228093e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 54, 'time': 5.399999999999997, 'dt': 0.1, 'total_energy': 1.3616997148543005e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 57, 'time': 5.699999999999996, 'dt': 0.1, 'total_energy': 6.138160410436886e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 60, 'time': 5.999999999999995, 'dt': 0.1, 'total_energy': 3.6644422042974853e-17}
2026-05-26T17:21:11+12:00 scalar diagnostics {'step': 63, 'time': 6.299999999999994, 'dt': 0.1, 'total_energy': 1.8679952860366824e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 66, 'time': 6.5999999999999925, 'dt': 0.1, 'total_energy': 3.2745765110455355e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 70, 'time': 6.999999999999991, 'dt': 0.1, 'total_energy': 4.736946884560079e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 73, 'time': 7.29999999999999, 'dt': 0.1, 'total_energy': 1.8642217947682324e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 76, 'time': 7.599999999999989, 'dt': 0.1, 'total_energy': 2.1710034410977754e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 79, 'time': 7.899999999999988, 'dt': 0.1, 'total_energy': 6.088759878731267e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 82, 'time': 8.199999999999987, 'dt': 0.1, 'total_energy': 2.142089290880733e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 85, 'time': 8.499999999999986, 'dt': 0.1, 'total_energy': 1.4754761908482713e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 88, 'time': 8.799999999999985, 'dt': 0.1, 'total_energy': 4.737708025546873e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 92, 'time': 9.199999999999983, 'dt': 0.1, 'total_energy': 3.082793640724978e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 95, 'time': 9.499999999999982, 'dt': 0.1, 'total_energy': 1.5446271560505272e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 98, 'time': 9.799999999999981, 'dt': 0.1, 'total_energy': 3.689716152122508e-17}
2026-05-26T17:21:12+12:00 progress {'step': 100, 'time': 9.99999999999998, 'dt': 0.1}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 101, 'time': 10.09999999999998, 'dt': 0.1, 'total_energy': 5.356335386585833e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 104, 'time': 10.399999999999979, 'dt': 0.1, 'total_energy': 1.5073663759057973e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 107, 'time': 10.699999999999978, 'dt': 0.1, 'total_energy': 1.3816285376119922e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 110, 'time': 10.999999999999977, 'dt': 0.1, 'total_energy': 5.4324833760884875e-17}
2026-05-26T17:21:12+12:00 scalar diagnostics {'step': 114, 'time': 11.399999999999975, 'dt': 0.1, 'total_energy': 1.8939724487887733e-17}
