step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.823169365962237e-13,0.0,4.5888190516707e-13,6.485821064265104e-13,0.0,4.569970793548963e-13,6.462842549394146e-13,0.0,1.1396004713102773e-12,1.610406403340999e-12,0.0,1.0238493008008255e-12,1.4431338488713734e-12,1.161932423195639e-25,1.0442316526945268e-25,6.493446171053029e-25,8.699610246943194e-25,2.2093836955126736e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.1,0.0,1.6232807856607445e-13,2.2936207338414173e-13,0.0,1.573869089903895e-12,2.2198652815688545e-12,0.0,9.073943167802622e-13,1.2816412116714706e-12,0.0,1.1669462040436882e-12,1.6472018810085773e-12,0.0,3.101451175931004e-12,4.376598786969061e-12,2.6654932202023384e-25,4.116822230625592e-25,6.808817215659866e-25,1.3591132666487796e-24,6.692679570610248e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7,0.1,0.0,1.6841356495236984e-13,2.377579281374794e-13,0.0,1.650765577581054e-12,2.331835088628721e-12,0.0,1.7168625685734162e-12,2.4280103244977443e-12,0.0,5.711043032035422e-13,8.054674518454257e-13,0.0,2.0187734162314592e-12,2.8500796860544e-12,2.8916906805618388e-25,1.4738085396842538e-24,1.630800625688017e-25,1.9260576703092397e-24,4.3563490136247445e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9999999999999999,0.1,0.0,2.057840326173251e-13,2.906898971896106e-13,0.0,5.052186388577125e-13,7.133552234217941e-13,0.0,2.147407431668647e-13,3.0368641728879524e-13,0.0,1.3257910868126466e-12,1.8732260285032943e-12,0.0,1.5459117992125936e-12,2.1858842939133446e-12,2.8507309148504643e-25,2.3056793387928672e-26,8.78861002935929e-25,1.186990887808904e-24,3.335952166011211e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.3,0.1,0.0,1.5188560635605687e-13,2.1424893952280767e-13,0.0,7.904791451204929e-13,1.1160708226410915e-12,0.0,1.7765501074286843e-12,2.5123914931334877e-12,0.0,3.5082760096899454e-13,4.94979505102532e-13,0.0,1.5204707816251609e-12,2.150118175458014e-12,1.73983015482203e-25,1.5780651421024345e-24,6.154000280083002e-26,1.8135881603854677e-24,3.281052439113198e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.6000000000000003,0.1,0.0,1.602182906261711e-13,2.260669394281621e-13,0.0,3.338789332119184e-13,4.720938349456486e-13,0.0,5.622530242884081e-13,7.94362648648199e-13,0.0,1.2145336580772862e-12,1.716906715145117e-12,0.0,3.1923389614507956e-12,4.4984791262038975e-12,1.7114185969580133e-25,1.5806423166073057e-25,7.3754600330129715e-25,1.066752094657829e-24,6.888807998178249e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.9000000000000006,0.1,0.0,7.070832294735009e-14,9.976917207944605e-14,0.0,8.018727852228082e-13,1.1294053286518153e-12,0.0,1.496463758883209e-12,2.1157131565814632e-12,0.0,4.845144171721047e-13,6.84636655826926e-13,0.0,5.582534514169134e-13,7.887388525648059e-13,5.72286029050579e-26,1.1197018908254313e-24,1.173771102238121e-25,1.2943076039543015e-24,1.204665680777918e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.2000000000000006,0.1,0.0,1.3763177808796123e-13,1.946300320910423e-13,0.0,6.278342623999935e-13,8.862112380148287e-13,0.0,1.17005292027943e-12,1.6499008105226443e-12,0.0,9.05511030623734e-13,1.2759062338952717e-12,0.0,9.086631109253622e-13,1.2809774170874215e-12,1.3828690124787828e-25,6.84511918127211e-25,4.0997511329062856e-25,1.2327739326657178e-24,1.9608212631636296e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2.600000000000001,0.1,0.0,2.0976235481895687e-13,2.962166976840178e-13,0.0,4.3773723769533416e-13,6.189348959099056e-13,0.0,9.183870377835676e-14,1.2961870779653514e-13,0.0,1.3477619610954605e-12,1.904259918699686e-12,0.0,3.3357491660542038e-12,4.710558594809871e-12,2.9337136071649693e-25,4.217173755844381e-27,9.082311518879405e-25,1.2058196863602819e-24,7.198275596248581e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.9000000000000012,0.1,0.0,1.0524188992190923e-13,1.4875178174369156e-13,0.0,7.46276749605363e-13,1.055182615278496e-12,0.0,1.6314855670029356e-12,2.307180940469795e-12,0.0,2.9262648977120636e-13,4.1382498069566504e-13,0.0,1.096043427434834e-12,1.549569449024506e-12,9.341340571708477e-26,1.3308725776694448e-24,4.2815131257908965e-26,1.4671011146444387e-24,2.3651727006513374e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
