step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622367e-13,0.0,4.5888190516707e-13,6.40422650443282e-13,0.0,4.569970793548962e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.5917546459404579e-12,0.0,1.0238493008008257e-12,1.438404812614648e-12,1.5551826427549205e-25,1.0442316526945268e-25,6.493446171053029e-25,9.092860466502476e-25,2.179792865134961e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,2.312456863030964e-12,3.2697292990789942e-12,0.0,2.466703305838766e-10,3.4884372075457404e-10,0.0,6.283352824456521e-10,8.882933054472468e-10,0.0,1.7203717052187237e-08,2.4324274035310985e-08,0.0,1.1148742120371889e-10,1.57643790806531e-10,1.7383007770892706e-21,1.9740261358302862e-19,1.4798394020585892e-16,1.4818308112021903e-16,3.182857788380025e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,3.2559764039624e-11,4.604202877799592e-11,0.0,1.827785877690113e-09,2.584362591018324e-09,0.0,1.1690988157994717e-09,1.6528261782055554e-09,0.0,2.5445077930377484e-07,3.598132660393223e-07,0.0,4.4842548626353914e-10,6.340041719923438e-10,1.0234127785004992e-19,6.833960205518635e-19,3.237259954414916e-14,3.237338528144757e-14,6.95833703576607e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,1.62102390747241e-10,2.2919910709387743e-10,0.0,5.962434053236168e-09,8.42990231442874e-09,0.0,1.771446596833591e-09,2.504466957705447e-09,0.0,1.269848890193057e-06,1.7954592635134463e-06,0.0,1.106156257106323e-09,1.5639056652863886e-09,1.2240118835290256e-18,1.5690115227166548e-18,8.062581019622693e-13,8.062608949856755e-13,1.732994957307852e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,4.83615708276569e-10,6.837614693805929e-10,0.0,1.3361693047892703e-08,1.8890908360959174e-08,0.0,2.7979965188534055e-09,3.955868939450779e-09,0.0,3.789543661015873e-06,5.357857287008168e-06,0.0,2.2403789041700426e-09,3.167486287568906e-09,7.064258521462853e-18,3.914392259757887e-18,7.180320579372791e-12,7.180331558023572e-12,1.543357611292847e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,1.1678875980094546e-09,1.6511910423624543e-09,0.0,2.6259429241281767e-08,3.712578589745126e-08,0.0,5.0951504944284574e-09,7.203660801127997e-09,0.0,9.151937843472906e-06,1.2939257028452444e-05,0.0,4.385622576724737e-09,6.2004727451292225e-09,3.143003142086652e-17,1.2980279280437277e-17,4.1878983145395736e-11,4.187902755570644e-11,9.001579940863618e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,2.4084254331716316e-09,3.405075459314344e-09,0.0,4.777042353522959e-08,6.75383701313693e-08,0.0,9.703902471837449e-09,1.3719591560008944e-08,0.0,1.8873598419356572e-05,2.668383502185553e-05,0.0,8.285187179455253e-09,1.1713749960559156e-08,1.1559387773586543e-16,4.7082861591466456e-17,1.7810635864756948e-10,1.7810652132430882e-10,3.828265081149428e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,4.6529885908371955e-09,6.578469333246194e-09,0.0,8.644987925988892e-08,1.222241446689068e-07,0.0,1.8537591711652024e-08,2.6208770998531195e-08,0.0,3.6463668396456726e-05,5.1552914855026476e-05,0.0,1.5587472149638826e-08,2.2037845671062275e-08,4.0245221499507687e-16,1.718211532339549e-16,6.647995564633784e-10,6.648001307367466e-10,1.4289376734436643e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,8.91741311805213e-09,1.2607581944499961e-08,0.0,1.6145608903072598e-07,2.2826933592703123e-07,0.0,3.557578746824576e-08,5.0297597996851786e-08,0.0,6.988318403146552e-05,9.880196848184506e-05,0.0,2.9813178902611194e-08,4.215037995664822e-08,1.4397953294925657e-15,6.328183269928958e-16,2.4418297051878377e-09,2.4418317778014942e-09,5.2485330327750445e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,1.659840480958304e-08,2.3467098435114326e-08,0.0,2.9879106367757144e-07,4.2243587333142623e-07,0.0,6.607913322232285e-08,9.342368994691444e-08,0.0,0.00013007789426115407,0.00018390627199538345,0.0,5.5645595571718944e-08,7.867266152815436e-08,4.959455039271064e-15,2.1832259237067455e-15,8.460129287707984e-09,8.460136430388948e-09,1.8184424516200485e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
