step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622372e-13,0.0,4.5888190516707e-13,6.404226504432821e-13,0.0,4.569970793548962e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.5917546459404579e-12,0.0,1.0238493008008257e-12,1.4384048126146479e-12,1.5551826427549205e-25,1.0442316526945268e-25,6.493446171053029e-25,9.092860466502476e-25,2.179792865134961e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,5.049935130917117e-12,7.141517100462736e-12,0.0,3.6135738313053394e-10,5.109655342419067e-10,0.0,6.054304946735749e-10,8.559008357207518e-10,0.0,2.5843831912088607e-08,3.654792629256674e-08,0.0,4.923431002954242e-08,6.962640046733861e-08,3.856715446297889e-21,1.8327304194034482e-19,3.3395182395014466e-16,3.341389537075313e-16,1.930000266957145e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,6.697151379080868e-11,9.468982812390068e-11,0.0,2.3845716480720396e-09,3.3712854308624243e-09,0.0,1.045440639865319e-09,1.4779851956033844e-09,0.0,3.496419472361917e-07,4.943525308577557e-07,0.0,6.687594853221735e-07,9.45547252256835e-07,1.9831615140125344e-19,5.464730657410037e-19,6.112474563355792e-14,6.112549042277506e-14,3.550034433413985e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,2.969211362026268e-10,4.197844255272675e-10,0.0,6.542434203561389e-09,9.249376126880754e-09,0.0,1.5548300211445063e-09,2.198173802072779e-09,0.0,1.5513136627866315e-06,2.1932332613820867e-06,0.0,2.9694054487701293e-06,4.198118699277519e-06,1.982444042001672e-18,1.2087481973261131e-18,1.203287040174237e-12,1.2032902313664763e-12,6.995063142883754e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,7.71019601586793e-10,1.090041331097453e-09,0.0,1.2026641443352044e-08,1.700268326559827e-08,0.0,2.629354034526804e-09,3.7173106918882567e-09,0.0,4.028558359924307e-06,5.6954390183275345e-06,0.0,7.712760594320175e-06,1.0904039039507222e-05,9.368021712250429e-18,3.456751319441191e-18,8.114641229658012e-12,8.114654054431043e-12,4.7185165874273215e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,1.6039102495279493e-09,2.267545968838793e-09,0.0,1.9733535957123785e-08,2.7898502003114107e-08,0.0,4.940274061546651e-09,6.984385359494563e-09,0.0,8.380653162457918e-06,1.1848241721728812e-05,0.0,1.6045831526927134e-05,2.2684972940109306e-05,3.396976505717553e-17,1.220315390159532e-17,3.511767371470794e-11,3.51177198876269e-11,2.0421721678370502e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,2.916158207276367e-09,4.122755316600642e-09,0.0,3.2307132409373513e-08,4.56747294985908e-08,0.0,8.858281782930841e-09,1.2523491176106552e-08,0.0,1.5237867646419582e-05,2.1542726919008607e-05,0.0,2.9174872344210464e-05,4.1246342464466614e-05,1.0552888611203203e-16,3.9234578072902196e-17,1.1609630520490033e-10,1.1609644996836451e-10,6.751270670900025e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,5.124552134936154e-09,7.244907653853266e-09,0.0,5.552363980108029e-08,7.849739914379114e-08,0.0,1.5228268574225345e-08,2.1529138195021198e-08,0.0,2.67781295772738e-05,3.785795730000103e-05,0.0,5.126985359045975e-05,7.248347659867919e-05,3.2198471616311116e-16,1.1595008188436957e-16,3.58534111828633e-10,3.5853454976343105e-10,2.0849416678726902e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,9.130228911114819e-09,1.2907989653774355e-08,0.0,9.879928244247626e-08,1.3967878632840704e-07,0.0,2.6255334004760507e-08,3.7118822428798167e-08,0.0,4.771012824878601e-05,6.74508654301818e-05,0.0,9.13466497361274e-05,0.00012914261200788966,1.021396892256106e-15,3.4467128185076654e-16,1.138128168757804e-09,1.1381295348259781e-09,6.618428041256112e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,1.5939236242373744e-08,2.2534309807374773e-08,0.0,1.7107315839422804e-07,2.418568041883254e-07,0.0,4.480284361578638e-08,6.334063378623449e-08,0.0,8.329080081752114e-05,0.00011775349088715786,0.0,0.0001594707680853673,0.00022545394514466186,3.099478421327822e-15,1.0036473980303056e-15,3.4686787504119894e-09,3.4686828535378086e-09,2.017113285984537e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,3.149999999999977,0.01,0.0,2.8151755679863303e-08,3.9799912826090545e-08,0.0,2.9841569250619635e-07,4.218890016490258e-07,0.0,7.841475055884564e-08,1.108599051367234e-07,0.0,0.00014710758606387446,0.00020797527403019025,0.0,0.00028165702505744683,0.0003981963033469129,9.606356728893794e-15,3.0744365526029907e-15,1.0820320938770116e-08,1.0820333619563398e-08,6.292282400600248e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
