step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622367e-13,0.0,4.5888190516707e-13,6.40422650443282e-13,0.0,4.569970793548962e-13,6.344617616061873e-13,0.0,1.1396004713102775e-12,1.591754645940458e-12,0.0,1.0238493008008257e-12,1.4384048126146477e-12,6.927304242314349e-26,1.0442316526945268e-25,6.493446171053029e-25,8.23040824797899e-25,1.7554176374057935e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,2.512227616920045e-13,3.514326707010986e-13,0.0,1.5696743332034035e-13,2.21373509360624e-13,0.0,2.150483683365289e-10,3.039701437269608e-10,0.0,2.7897268088295675e-10,3.9429347906647227e-10,0.0,3.812230258842518e-10,5.301680333539924e-10,6.927256977295155e-26,2.312290036210171e-20,3.891287833951202e-20,6.20358479741835e-20,1.4018809508906863e-19,0.0,0.0,4.377791337822978e-19,4.377791337822978e-19,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,7.546199849555323e-14,1.065908699529435e-13,0.0,5.042919736787824e-13,7.118153403251489e-13,0.0,2.672603065484547e-10,3.777906518535121e-10,0.0,1.2352815800976083e-10,1.7468598440162718e-10,0.0,3.611421240275251e-10,5.06586773685194e-10,6.927211189615329e-26,3.5714035728186967e-20,7.629602910642221e-21,4.334370791094108e-20,8.618769193330362e-20,0.0,0.0,-1.7395483130956652e-19,-1.7395483130956652e-19,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,2.3189398306736176e-13,3.278819218394422e-13,0.0,2.489724472263085e-13,3.457643146849882e-13,0.0,1.1993574903024653e-10,1.6955191368607922e-10,0.0,1.9313043469524005e-10,2.7156757963555384e-10,0.0,8.902875109837613e-10,1.2462217426027748e-09,6.927163925231009e-26,7.192291947723141e-21,1.8649682402786183e-20,2.5842043622148576e-20,2.5849692612262303e-19,0.0,0.0,5.382497001126704e-19,5.382497001126704e-19,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,1.8443488384258295e-13,2.606679232147831e-13,0.0,3.7552605770377797e-13,5.255274382213886e-13,0.0,1.1210903922290964e-10,1.5845346688186522e-10,0.0,1.852034815350239e-10,2.592836886246132e-10,0.0,7.349677893333608e-10,1.037350669213884e-09,6.927118138166236e-26,6.2842183377419464e-21,1.715016478634696e-20,2.3434452395270286e-20,1.8643258304816043e-19,0.0,0.0,-2.3235407817322145e-19,-2.3235407817322145e-19,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,1.3592847673758023e-13,1.918892073382446e-13,0.0,4.50751186159146e-13,6.302533358416014e-13,0.0,2.6531174906812864e-10,3.750275738980552e-10,0.0,2.5039729075201487e-10,3.5361647955739184e-10,0.0,2.0134543706977083e-11,2.7974587091676682e-11,6.927070874416817e-26,3.519516209679483e-20,3.134940160797453e-20,6.65446329754781e-20,9.800349254303044e-20,0.0,0.0,-2.7628143044327967e-19,-2.7628143044327967e-19,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,2.513509396972989e-13,3.516557187167977e-13,0.0,1.561147781980377e-13,2.200208051697666e-13,0.0,2.2027546088753337e-10,3.113822411643576e-10,0.0,2.8244907909135154e-10,3.9897650591341755e-10,0.0,3.8129568642916236e-10,5.304259497198309e-10,6.927025087967082e-26,2.4260639334607622e-20,3.9888741139776285e-20,6.414944974463479e-20,1.432925190165723e-19,0.0,0.0,1.4595322370831032e-19,1.4595322370831032e-19,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,7.585111432911027e-14,1.0708709549821447e-13,0.0,5.04049209792981e-13,7.115091939068184e-13,0.0,1.6472721880081698e-11,2.3295799995797643e-11,0.0,2.150965704555731e-10,3.015644596694055e-10,0.0,3.6001680313341147e-10,5.047047750795916e-10,6.92697930181999e-26,1.3567528306926112e-22,2.3133267310874655e-20,2.3269011863736935e-20,8.139754577997999e-20,0.0,0.0,-1.9937106163395449e-19,-1.9937106163395449e-19,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,2.315653229095371e-13,3.274105810308128e-13,0.0,2.501745120189527e-13,3.472039468201916e-13,0.0,2.0442453717482897e-10,2.8895184388568827e-10,0.0,4.701760116579371e-10,6.606953177135099e-10,0.0,8.8954204383555e-10,1.2450431941891963e-09,6.926932039017846e-26,2.0894695699571517e-20,1.1053274096928229e-19,1.314275059381742e-19,4.556072098002607e-19,0.0,0.0,1.1689753876400363e-18,1.1689753876400363e-18,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,1.8495526177762264e-13,2.613887158960355e-13,0.0,3.7448852412659624e-13,5.23959624419709e-13,0.0,2.702450038483076e-10,3.8200854233782393e-10,0.0,2.5605037172678053e-10,3.6186302659980495e-10,0.0,7.364213408249012e-10,1.0394297606882558e-09,6.926886253485797e-26,3.65161810524859e-20,3.278089643071123e-20,6.929714675205967e-20,2.48503468812804e-19,0.0,0.0,-6.677788421129073e-19,-6.677788421129073e-19,0.0,0.0,0.0,0.0,0.0,0.0
315,3.149999999999977,0.01,0.0,1.3532381193286023e-13,1.9106776788089767e-13,0.0,4.514680756693443e-13,6.311555071933453e-13,0.0,1.3460179942759488e-10,1.90282765450616e-10,0.0,3.7118503449247304e-10,5.243952803272461e-10,0.0,1.833483596668983e-11,2.5457357632699666e-11,6.926838991318531e-26,9.058822204573241e-21,6.88891649155892e-20,7.794805638855234e-20,1.469279861808214e-19,0.0,0.0,-3.1734872038338036e-19,-3.1734872038338036e-19,0.0,0.0,0.0,0.0,0.0,0.0
346,3.45999999999997,0.01,0.0,2.5147674137759283e-13,3.5187519246753225e-13,0.0,1.5527241364933337e-13,2.1866591461800775e-13,0.0,9.679271462542707e-11,1.3680235552199985e-10,0.0,5.423009468668868e-10,7.668144009881602e-10,0.0,3.8136352531915275e-10,5.306751142105245e-10,6.92679320640151e-26,4.684414802279681e-21,1.47045158486361e-19,1.5172964255657275e-19,3.380430984227738e-19,0.0,0.0,6.161599408223184e-19,6.161599408223184e-19,0.0,0.0,0.0,0.0,0.0,0.0
377,3.7699999999999636,0.01,0.0,7.624590241607167e-14,1.0758221826182538e-13,0.0,5.038016934573763e-13,7.111958409910275e-13,0.0,2.584179562680695e-10,3.652811624962081e-10,0.0,1.356228456815704e-10,1.8947973942937848e-10,0.0,3.5889832898479144e-10,5.028219467345641e-10,6.926747421787112e-26,3.3389920060882926e-20,9.196778135383529e-21,4.2586767463740673e-20,8.656170844710459e-20,0.0,0.0,-8.107334113623824e-19,-8.107334113623824e-19,0.0,0.0,0.0,0.0,0.0,0.0
409,4.089999999999957,0.01,0.0,2.3123455186130013e-13,3.2693593511711924e-13,0.0,2.5137687746628277e-13,3.486994173994771e-13,0.0,2.2967919593129872e-10,3.246740017399878e-10,0.0,4.470866485387219e-10,6.291349831083514e-10,0.0,8.887912770392935e-10,1.2438563816358312e-09,6.92670016056709e-26,2.637626652182395e-20,9.994323565079332e-20,1.2631957143961886e-19,4.395492893085194e-19,0.0,0.0,1.102639903596231e-18,1.102639903596231e-18,0.0,0.0,0.0,0.0,0.0,0.0
440,4.399999999999951,0.01,0.0,1.8547419150647023e-13,2.621068332168929e-13,0.0,3.73448085016904e-13,5.223865486457892e-13,0.0,3.297636007418041e-11,4.6628762094476034e-11,0.0,4.4130077916839183e-10,6.22783130503458e-10,0.0,7.378704847738856e-10,1.0415025644840764e-09,6.926654376567698e-26,5.437201618709999e-22,9.737318884731486e-20,9.791697827572962e-20,3.4229243724416557e-19,0.0,0.0,-3.136177400246673e-19,-3.136177400246673e-19,0.0,0.0,0.0,0.0,0.0,0.0
472,4.719999999999944,0.01,0.0,1.3471893143501736e-13,1.9024441794551935e-13,0.0,4.5218085175218264e-13,6.320512466163413e-13,0.0,1.9304922361720882e-10,2.7287132286236416e-10,0.0,6.536956842830776e-11,9.192523823698571e-11,0.0,1.6532495893767297e-11,2.2936591027432686e-11,6.926607115982524e-26,1.8634001369603553e-20,2.1365902382516055e-21,2.0770660873926317e-20,2.2981048435706832e-20,0.0,0.0,-9.975527718362765e-19,-9.975527718362765e-19,0.0,0.0,0.0,0.0,0.0,0.0
503,5.029999999999937,0.01,0.0,2.5160016525850315e-13,3.520910898468555e-13,0.0,1.5444054089357844e-13,2.1730885152101534e-13,0.0,2.722360515205487e-10,3.848218418237616e-10,0.0,3.928569740832955e-10,5.513169475702408e-10,0.0,3.8142652875860833e-10,5.309155245917983e-10,6.926561332598135e-26,3.705623387374942e-20,7.716830104294156e-20,1.142246041823043e-19,2.3067417837227303e-19,0.0,0.0,6.6957753518781455e-19,6.6957753518781455e-19,0.0,0.0,0.0,0.0,0.0,0.0
535,5.34999999999993,0.01,0.0,7.203386741483606e-14,1.0177097318951213e-13,0.0,5.06265790555672e-13,7.142274271064838e-13,0.0,1.4877280624493852e-10,2.1031375605878115e-10,0.0,1.937024256111159e-10,2.7034648250935624e-10,0.0,3.722152209146821e-10,5.245099760227627e-10,6.926514072647807e-26,1.1066673938997004e-20,1.8760314843814946e-20,2.9827058047952675e-20,8.59942989755203e-20,0.0,0.0,-4.517928036934587e-19,-4.517928036934587e-19,0.0,0.0,0.0,0.0,0.0,0.0
566,5.659999999999924,0.01,0.0,2.309016743079025e-13,3.2645798902327007e-13,0.0,2.5257949006672365e-13,3.5059816266444934e-13,0.0,8.112075104341068e-11,1.1464851307512214e-10,0.0,1.829631301379523e-10,2.580613922491603e-10,0.0,8.880352212555655e-10,1.2426613172570013e-09,6.92646828987842e-26,3.290288124923507e-21,1.6737753494938628e-20,2.0028110884545035e-20,2.496896340108972e-19,0.0,0.0,5.278138002173974e-19,5.278138002173974e-19,0.0,0.0,0.0,0.0,0.0,0.0
597,5.969999999999917,0.01,0.0,1.859916640582844e-13,2.6282226798314095e-13,0.0,3.724047581594346e-13,5.208082270312762e-13,0.0,2.5254105904237037e-10,3.569727403876858e-10,0.0,2.2857391505485516e-10,3.183261388252932e-10,0.0,7.39315207563458e-10,1.0435690597876426e-09,6.926422507411645e-26,3.188849325112098e-20,2.612301732175207e-20,5.801157983709812e-20,2.3171308071519183e-19,0.0,0.0,-5.79675927953252e-20,-5.79675927953252e-20,0.0,0.0,0.0,0.0,0.0,0.0
629,6.28999999999991,0.01,0.0,1.34113856688714e-13,1.8941916594719454e-13,0.0,4.528895049707566e-13,6.329405452405272e-13,0.0,2.382383572428046e-10,3.367718683930147e-10,0.0,1.0643335960769348e-10,1.5018592636746275e-10,0.0,1.472761163681476e-11,2.0442964762535273e-11,6.926375248408515e-26,2.83787574308751e-20,5.664030018690298e-21,3.4042856713317884e-20,3.976545041902989e-20,0.0,0.0,-5.996700636819991e-19,-5.996700636819991e-19,0.0,0.0,0.0,0.0,0.0,0.0
660,6.599999999999904,0.01,0.0,2.5172120989539723e-13,3.5230340878466736e-13,0.0,1.5361936276869003e-13,2.1594962971603126e-13,0.0,4.9360589923428216e-11,6.979000921693109e-11,0.0,2.3048749943087836e-10,3.2166834625514107e-10,0.0,3.8148468311812005e-10,5.311471787182431e-10,6.926329466556723e-26,1.2182339187944214e-21,2.6562243696949577e-20,2.7780546879038665e-20,9.363604270849598e-20,0.0,0.0,1.736047973757938e-19,1.736047973757938e-19,0.0,0.0,0.0,0.0,0.0,0.0
692,6.919999999999897,0.01,0.0,7.23633385550837e-14,1.0227738074808913e-13,0.0,5.060686487623847e-13,7.139903814158353e-13,0.0,1.809642616210375e-10,2.557877168196503e-10,0.0,1.8145685714512308e-10,2.5277510919613183e-10,0.0,3.7102751673923435e-10,5.226372671979769e-10,6.926282208188413e-26,1.637403199202365e-20,1.64632955024928e-20,3.283739675733853e-20,8.646927516780568e-20,0.0,0.0,-2.218785712489181e-20,-2.218785712489181e-20,0.0,0.0,0.0,0.0,0.0,0.0
723,7.22999999999989,0.01,0.0,2.3056669466754197e-13,3.259767477074848e-13,0.0,2.5378229709418637e-13,3.5249328829728925e-13,0.0,2.732261406194889e-10,3.862202230502448e-10,0.0,3.403629071310328e-10,4.812562428215344e-10,0.0,8.872738872131166e-10,1.2414580134503242e-09,6.926236426951596e-26,3.732626195891036e-20,5.792345427534403e-20,9.524978549661866e-20,3.6573207652313663e-19,0.0,0.0,9.005152068223667e-19,9.005152068223667e-19,0.0,0.0,0.0,0.0,0.0,0.0
754,7.539999999999884,0.01,0.0,1.86507670529559e-13,2.635350130280155e-13,0.0,3.713585614675461e-13,5.192246757604865e-13,0.0,1.6854986347062946e-10,2.382688291642186e-10,0.0,1.9227675911479282e-10,2.702973798135342e-10,0.0,7.40755495622876e-10,1.0456292258499355e-09,6.926190646017382e-26,1.420452823798391e-20,1.8485176047844033e-20,3.2689773547734403e-20,1.9932899975536137e-19,0.0,0.0,-5.365351348660274e-19,-5.365351348660274e-19,0.0,0.0,0.0,0.0,0.0,0.0
786,7.859999999999877,0.01,0.0,1.335086094215565e-13,1.885920203200191e-13,0.0,4.5359402595838784e-13,6.338233942614666e-13,0.0,6.515081876719249e-11,9.207339909221702e-11,0.0,3.879613993036423e-10,5.482348697070772e-10,0.0,1.2920311444302328e-11,1.7955642360283627e-11,6.926143388596237e-26,2.122314593017781e-21,7.525702367482007e-20,7.737940752927173e-20,1.526815035050026e-19,0.0,0.0,-1.45751817969761e-19,-1.45751817969761e-19,0.0,0.0,0.0,0.0,0.0,0.0
